"Citable Reference","Context Description","Title","Description","Start Date","Start Date (num)","End Date","End Date (num)","Covering Dates","Held by","Catalogue level","References","Opening Date","Closure Status","Closure Type","Closure Code","Subjects","Digitised","ID","Score"
"FO 371/7870","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 5 (papers 7843 - 8287)","Turkey. Code 44 File 5 (papers 7843 - 8287).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 5 (pp.7843-8287).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2765535","253.656387"
"FO 371/8122","Foreign Office: Political Departments: General Correspondence from 1906-1966. Northern.","Poland. Code 55 File 64 (papers 4931 - 8909)","Poland. Code 55 File 64 (papers 4931 - 8909).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 64 (pp.4931-8909).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2765787","253.656387"
"FO 371/7593","Foreign Office: Political Departments: General Correspondence from 1906-1966. Central.","Greece. Code 19 File 21 (papers 7390 - 11298)","Greece. Code 19 File 21 (papers 7390 - 11298).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 21 (pp. 7390-11298).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2765258","253.656387"
"FO 371/8344","Foreign Office: Political Departments: General Correspondence from 1906-1966. Western.","Morocco. Code 28 File 197 (papers 2205 - 5442)","Morocco. Code 28 File 197 (papers 2205 - 5442).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 197 (pp.2205-5442).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2766009","253.656387"
"FO 371/7868","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Turkey. Code 44 File 5 (papers 7028 - 7598)","Turkey. Code 44 File 5 (papers 7028 - 7598).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 5 (pp.7028-7598).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2765533","253.656387"
"FO 371/6407","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Persia. Code 34 File 2 (papers 11456 - 13579)","Persia. Code 34 File 2 (papers 11456 - 13579).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 2 (pp.11456-13579).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2764072","253.656387"
"FO 371/6409","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Persia. Code 34 File 25 (to paper 4875)","Persia. Code 34 File 25 (to paper 4875).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 25 (to pp.4875).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2764074","253.656387"
"FO 371/6404","Foreign Office: Political Departments: General Correspondence from 1906-1966. Eastern.","Persia. Code 34 File 2 (papers 5327 - 7517)","Persia. Code 34 File 2 (papers 5327 - 7517).","01/01/1921","19210101","31/12/1921","19211231","1921","The National Archives, Kew","6","Former Reference Dep: File 2 (pp.5327-7517).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10128 Middle East;
        C10049 International","","C2764069","253.656387"
"FO 371/5403","Foreign Office: Political Departments: General Correspondence from 1906-1966. Northern.","Poland. Code 55 File 272 (papers 2045 - 2875)","Poland. Code 55 File 272 (papers 2045 - 2875).","01/01/1920","19200101","31/12/1920","19201231","1920","The National Archives, Kew","6","Former Reference Dep: File 272 (pp.2045-2875).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2763068","253.656387"
"FO 371/8121","Foreign Office: Political Departments: General Correspondence from 1906-1966. Northern.","Poland. Code 55 File 64 (papers 341 - 4754)","Poland. Code 55 File 64 (papers 341 - 4754).","01/01/1922","19220101","31/12/1922","19221231","1922","The National Archives, Kew","6","Former Reference Dep: File 64 (pp.341-4754).","","Open Document, Open Description","Normal Closure before FOI Act:","30","C10131 Europe and Russia;
        C10049 International","","C2765786","253.656387"
